"","name"
"226","UniversityofRochester"
"227","WittenbergUniversity"
"228","AssumptionCollege"
"229","CentralMichiganUniversity"
"230","UniversityoftheOzarks"
"231","BelmontUniversity"
"232","PresbyterianCollege"
"233","WhittierCollege"
"234","SouthDakotaStateUniversity"
"235","SweetBriarCollege"
"236","QueensUniversityofCharlotte"
"237","GrandValleyStateUniversity"
"238","MonmouthCollege"
"239","CoeCollege"
"240","JohnBrownUniversity"
"241","CaseWesternReserveUniversity"
"242","OklahomaCityUniversity"
"243","MichiganTechnologicalUniversity"
"244","NewJerseyInstituteofTechnology"
"245","TexasLutheranUniversity"
"246","FranklinCollege"
"247","MichiganStateUniversity"
"248","WentworthInstituteofTechnology"
"249","WentworthInstituteofTechnology"
"250","WentworthInstituteofTechnology"
"251","WentworthInstituteofTechnology"
"252","McCormickTheologicalSeminary"
"253","UniversityofIndianapolis"
"254","LaSalleUniversity"
"255","UniversityofEvansville"
"256","NiagaraUniversity"
"257","LouisvillePresbyterianTheologicalSeminary"
"258","LynchburgCollege"
"259","MeredithCollege"
"260","SwarthmoreCollege"
"261","DruryUniversity"
"262","RooseveltUniversity"
"263","RogerWilliamsUniversity"
"264","PacificLutheranUniversity"
"265","WestmontCollege"
"266","LakeForestCollege"
"267","UniversityofDubuque"
"268","FranklinUniversity"
"269","SimpsonCollege"
"270","WagnerCollege"
"271","MiddleTennesseeStateUniversity"
"272","SarahLawrenceCollege"
"273","ChathamUniversity"
"274","PrincetonUniversity"
"275","SmithCollege"
"276","BriteDivinitySchool"
"277","UniversityofStThomas"
"278","UniversityofStThomas"
"279","UniversityofNorthCarolinaWilmington"
"280","IndianaInstituteofTechnology"
"281","TaylorUniversity"
"282","EmmanuelCollege"
"283","EmmanuelCollege"
"284","GuilfordCollege"
"285","GrinnellCollege"
"286","PalmBeachAtlanticUniversity"
"287","MarylandInstituteCollegeofArt"
"288","RiponCollege"
"289","LutherSeminary"
"290","IonaCollege"
"291","KetteringUniversity"
"292","WellesleyCollege"
"293","WilsonCollege"
"294","CentralCollege"
"295","StFrancisCollege"
"296","BridgewaterCollege"
"297","HoodCollege"
"298","MariettaCollege"
"299","ConverseCollege"
"300","McMurryUniversity"
"301","CornellCollege"
"302","NewYorkMedicalCollege"
"303","MonmouthUniversity"
"304","TuftsUniversity"
"305","CapitalUniversity"
"306","MuskingumUniversity"
"307","CarthageCollege"
"308","FloridaSouthernCollege"
"309","ManhattanCollege"
"310","AugustanaCollege"
"311","HartwickCollege"
"312","WestminsterCollege"
"313","WestminsterCollege"
"314","WestminsterCollege"
"315","SeattlePacificUniversity"
"316","ElizabethtownCollege"
"317","OaklandUniversity"
"318","HiramCollege"
"319","WarrenWilsonCollege"
"320","LipscombUniversity"
"321","CarnegieMellonUniversity"
"322","NazarethCollege"
"323","OklahomaChristianUniversity"
"324","MurrayStateUniversity"
"325","CaliforniaLutheranUniversity"
"326","ArcadiaUniversity"
"327","MaryvilleCollege"
"328","AlbrightCollege"
"329","BostonUniversity"
"330","RiderUniversity"
