"","name"
"198","OccidentalCollege"
"199","DickinsonCollege"
"200","UniversityofToledoFoundation"
"201","CreightonUniversity"
"202","UnionCollege"
"203","WheatonCollege"
"204","UniversityofWisconsinSystem"
"205","EarlhamCollege"
"206","OlinCollegeofEngineering"
"207","WabashCollege"
"208","HofstraUniversity"
"209","MedicalCollegeofVirginiaFoundation"
"210","UniversityofConnecticutFoundations"
"211","VMIFoundationInc"
"212","RollinsCollege"
"213","UniversityoftheSouth"
"214","UniversityofthePacific"
"215","UniversityofCaliforniaIrvineFoundation"
"216","SpelmanCollege"
"217","TempleUniversity"
"218","MichiganStateUniversityFoundation"
"219","AbileneChristianUniversity"
"220","QuinnipiacUniversity"
"221","RhodeIslandSchoolofDesign"
"222","FranklinMarshallCollege"
"223","UniversityofVictoriaBC"
"224","SkidmoreCollege"
"225","UniversityofSouthAlabamaFoundation"
"226","RhodesCollege"
"227","SimonFraserUniversityBC"
"228","UniversityofAlaskaFoundation"
"229","BrookingsInstitutionDC"
"230","ScrippsCollege"
"231","LoyolaUniversityNewOrleans"
"232","BerkleeCollegeofMusic"
"233","UniversityofPugetSound"
"234","WayneStateUniversity"
"235","BabsonCollege"
"236","MedicalUniversityofSouthCarolinaFoundation"
"237","FairfieldUniversity"
"238","CatholicUniversityofAmericaDC"
"239","WesternMichiganUniversityFoundation"
"240","UniversityofNevadaRenoFoundations"
"241","BradleyUniversity"
"242","HamptonUniversity"
"243","SouthwesternUniversity"
"244","GettysburgCollege"
"245","StLawrenceUniversity"
"246","AgnesScottCollege"
"247","CollegeofWooster"
"248","UniversityofMarylandCollegeParkFoundation"
"249","ColoradoStateUniversityFoundation"
"250","JohsonWalesUniversity"
"251","BarnardCollege"
"252","IthacaCollege"
"253","UtahStateUniversity"
"254","HarveyMuddCollege"
"255","UCDavisFoundation"
"256","SetonHallUniversity"
"257","UniversityofSanFrancisco"
"258","ConnecticutCollege"
"259","UniversityofSaskatchewanSK"
"260","UniversityofHawaiiFoundation"
"261","BatesCollege"
"262","CentreCollege"
"263","ColoradoSchoolofMinesFoundationInc"
"264","ChapmanUniversity"
"265","YoungstownStateUniversityFoundation"
"266","UNCatGreensboroInvestmentFundInc"
"267","NevadaSystemofHigherEducation"
"268","UniversityofMemphis"
"269","BentleyUniversity"
"270","TheCitadel"
"271","WillametteUniversity"
"272","TheNewSchool"
"273","LawrenceUniversity"
"274","WichitaStateUniversityFoundation"
"275","LewisClarkCollege"
"276","UniversityofIdahoFoundationInc"
"277","CorporationofMercerUniversity"
"278","IllinoisWesleyanUniversity"
"279","DuquesneUniversity"
"280","DrewUniversity"
"281","PhiladelphiaCollegeofOsteopathicMedicine"
"282","UNLVFoundation"
"283","MuhlenbergCollege"
"284","GoucherCollege"
"285","NewMexicoStateUniversityFoundation"
"286","KenyonCollege"
"287","IllinoisInstituteofTechnology"
"288","SaintJosephsUniversity"
"289","UniversityofOttawaON"
"290","KalamazooCollege"
"291","UniversityofNewBrunswickNB"
"292","FloridaAtlanticUniversityFoundationInc"
"293","UniversityofAkronFoundation"
"294","CaliforniaPolytechnicStateUniversityFoundation"
"295","OhioWesleyanUniversity"
"296","WashingtonCollege"
"297","JohnCarrollUniversity"
"298","SUNYStonyBrookFoundation"
"299","OldDominionUniversity"
"300","UniversityofSouthDakotaFoundation"
"301","ValparaisoUniversity"
"302","LoyolaUniversityMarylandInc"
"303","ColumbiaTheologicalSeminary"
"304","GallaudetUniversityDC"
"305","WheatonCollege"
"306","RoseHulmanInstituteofTechnology"
"307","HobartandWilliamSmithColleges"
"308","MillsCollege"
"309","HendrixCollege"
"310","StetsonUniversityInc"
"311","CarletonUniversityON"
"312","SimmonsCollege"
"313","BallStateUniversityFoundation"
"314","StonehillCollegeInc"
"315","InterAmericanUniversityofPuertoRicoPR"
"316","ClaremontGraduateUniversity"
"317","LesleyUniversity"
"318","ClarksonUniversity"
"319","RegentUniversity"
"320","DrakeUniversity"
"321","OhioNorthernUniversity"
"322","LycomingCollege"
"323","AlbionCollege"
"324","WoffordCollege"
"325","ButlerUniversity"
"326","HollinsUniversity"
"327","SuffolkUniversity"
"328","HopeCollege"
"329","UniversityofMaineFoundation"
"330","AlleghenyCollege"
"331","UniversityofNorthDakotaFoundation"
"332","UniversityofSouthAlabama"
"333","SanDiegoStateUniversity"
"334","UniversityoftheSciencesinPhiladelphia"
"335","ElonUniversity"
"336","StMarysUniversityofSanAntonio"
"337","BryantUniversity"
"338","StevensInstituteofTechnology"
"339","SaintJohnsUniversity"
"340","RowanUniversityFoundation"
"341","FloridaInternationalUniversityFoundationInc"
"342","UniversityofNorthCarolinaatCharlotte"
"343","TransylvaniaUniversity"
"344","UniversityofMontanaFoundation"
"345","WashburnUniversityFoundation"
"346","UniversityofScranton"
"347","EastCarolinaUniversity"
"348","CaliforniaStateUniversityFresnoFoundation"
"349","MedicalCollegeofGeorgiaFoundationInc"
"350","IllinoisCollege"
"351","TexasStateUniversity"
"352","SaintMarysCollegeofCalifornia"
"353","GonzagaUniversity"
"354","PaceUniversity"
"355","HanoverCollege"
"356","StJohnsCollege"
"357","RandolphCollege"
"358","MennoniteEducationAgencyInvestmentFundLLC"
"359","UCFFoundationInc"
"360","AsburyTheologicalSeminary"
"361","HampdenSydneyCollege"
"362","MontanaStateUniversityFoundationInc"
"363","XavierUniversity"
"364","BeloitCollege"
"365","SusquehannaUniversity"
"366","BowlingGreenStateUniversityFoundationInc"
"367","StLouisCollegeofPharmacy"
"368","SaintMarysCollegeNotreDame"
"369","LutherCollege"
"370","LeMoyneCollege"
"371","AugustanaColelge"
"372","MessiahCollege"
"373","UniversityofHartford"
"374","RandolphMaconCollege"
"375","MeharryMedicalCollege"
"376","AustinCollege"
"377","BaldwinWallaceUniversity"
"378","ColumbiaCollegeChicago"
"379","SacredHeartUniversityInc"
"380","UCSantaBarbaraFoundation"
"381","UniversityofMountUnion"
"382","GustavusAdolphusCollege"
"383","PrattInstitute"
"384","MountAllisonUniversityNB"
"385","UniversityofNorthTexas"
"386","BuenaVistaUniversity"
"387","LindenwoodUniversity"
"388","PolytechnicInstituteofNYU"
"389","HardinSimmonsUniversity"
"390","RoanokeCollege"
"391","GeorgiaStateUniversityFoundation"
"392","WesternKentuckyUniversityFoundations"
"393","PitzerCollege"
"394","UniversityofPortland"
"395","StAmbroseUniversity"
"396","WashingtonandJeffersonCollege"
"397","CaliforniaInstituteoftheArts"
"398","FloridaAMUniversityFoundationInc"
"399","CulinaryInstituteofAmerica"
"400","UrsinusCollege"
"401","MillikinUniversity"
"402","NorthDakotaStateUniversityDevelopmentFoundation"
"403","UniversityofRedlands"
"404","MillsapsCollege"
"405","UniversityoftheIncarnateWord"
"406","SouthwesternBaptistTheologicalSeminary"
"407","MountStMarysCollege"
"408","ColumbiaCollege"
"409","WhitworthUniversity"
"410","AustinPresbyterianTheologicalSeminary"
"411","WebsterUniversity"
"412","IndianaWesleyanUniversity"
"413","NorthernArizonaUniversity"
"414","UCRiversideFoundation"
"415","SaintAnselmCollege"
"416","VictoriaUniversityintheUniversityofTorontoON"
"417","EastTennesseeStateUniversity"
"418","HardingUniversityInc"
"419","MercyCollege"
"420","UniversityofRhodeIslandFoundation"
"421","SouthernIllinoisUniversityFoundation"
"422","AlmaCollege"
"423","GoshenCollege"
"424","DoaneCollege"
"425","UniversityofChattanoogaFoundation"
"426","WestminsterCollege"
"427","SanJoseStateUniversity"
"428","McDanielCollege"
"429","KnoxCollege"
"430","MoravianCollege"
"431","ChristianTheologicalSeminary"
"432","WeberStateUniversity"
"433","NorthCentralCollege"
"434","CollegeofIdaho"
"435","CotteyCollege"
"436","AlfredUniversity"
"437","JuniataCollege"
"438","BiolaUniversity"
"439","OuachitaBaptistUniversity"
"440","WittenbergUniversity"
"441","AssumptionCollege"
"442","CentralMichiganUniversity"
"443","UniversityoftheOzarks"
"444","BelmontUniversity"
"445","MarshallUniversityFoundationInc"
"446","SaintFrancisXavierUniversityNS"
"447","PresbyterianCollege"
"448","WhittierCollege"
"449","SouthDakotaStateUniversity"
"450","LinfieldCollege"
"451","SweetBriarCollege"
"452","QueensUniversityofCharlotte"
"453","ConcordiaCollege"
"454","LenoirRhyneUniversity"
"455","GrandValleyStateUniversity"
"456","MonmouthCollege"
"457","CoeCollege"
"458","JohnBrownUniversity"
"459","EmoryHenryUniversity"
"460","OklahomaCityUniversity"
"461","LongIslandUniversity"
"462","StNorbertCollege"
"463","MichiganTechnologicalUniversity"
"464","UniversityofNorthFloridaFoundationInc"
"465","NewJerseyInstituteofTechnology"
"466","TexasLutheranUniversity"
"467","UniversityofNorthernIowaFoundation"
"468","FranklinCollege"
"469","NorthernKentuckyUniversityFoundationInc"
"470","HamlineUniversityofMinnesota"
"471","WentworthInstituteofTechnology"
"472","McCormickTheologicalSeminary"
"473","UniversityofIndianapolis"
"474","LaSalleUniversity"
"475","UniversityofEvansville"
"476","NiagaraUniversity"
"477","LouisvillePresbyterianTheologicalSeminary"
"478","LynchburgCollege"
"479","MeredithCollege"
"480","DruryUniversity"
"481","WidenerUniversity"
"482","WrightStateUniversityFoundationInc"
"483","StEdwardsUniversity"
"484","RooseveltUniversity"
"485","RogerWilliamsUniversity"
"486","AppalachianStateUniversityFoundation"
"487","SaintMichaelsCollege"
"488","PacificLutheranUniversity"
"489","BoiseStateUniversityFoundationInc"
"490","WestmontCollege"
"491","LakeForestCollege"
"492","FoundationforSUNYatBinghamtonInc"
"493","UniversityofDubuque"
"494","FranklinUniversity"
"495","SimpsonCollege"
"496","WagnerCollege"
"497","MiddleTennesseeStateUniversity"
"498","SarahLawrenceCollege"
"499","ChathamUniversity"
"500","BriteDivinitySchool"
"501","PittsburgStateUniversityFoundationInc"
"502","UniversityofStThomas"
"503","UniversityofNorthCarolinaWilmington"
"504","UniversityofNorthernColoradoFoundationInc"
"505","IndianaInstituteofTechnology"
"506","TaylorUniversity"
"507","EmmanuelCollege"
"508","NorthwoodUniversity"
"509","GuilfordCollege"
"510","CaliforniaStateUniversityNorthridge"
