"","name"
"170","CareerAcademyofHairDesign"
"171","MarshaKayBeautyCollege"
"172","AcademyofSalonandSpa"
"173","ArkansasStateUniversityMid-South"
"174","ArkansasNortheasternCollege"
"175","Margaret'sHairAcademyInc"
"176","NewTylerBarberCollegeInc"
"177","NorthArkansasCollege"
"178","NorthwestTechnicalInstitute"
"179","OuachitaBaptistUniversity"
"180","CollegeoftheOuachitas"
"181","OzarkaCollege"
"182","UniversityoftheOzarks"
"183","UniversityofArkansasCommunityCollege-Morrilton"
"184","PhilanderSmithCollege"
"185","PhillipsCommunityCollegeoftheUniversityofArkansas"
"186","SoutheastArkansasCollege"
"187","ProfessionalCosmetologyEducationCenter"
"188","PulaskiTechnicalCollege"
"189","UniversityofArkansasCommunityCollege-Hope"
"190","RichMountainCommunityCollege"
"191","PaulMitchelltheSchool-Arkansas"
"192","SearcyBeautyCollege"
"193","ShorterCollege"
"194","WilliamsBaptistCollege"
"195","SouthArkansasCommunityCollege"
"196","SouthernArkansasUniversityMainCampus"
"197","SouthernArkansasUniversityTech"
"198","VelvatexCollegeofBeautyCulture"
"199","UniversityofArkansas-FortSmith"
"200","AcademyofArtUniversity"
"201","ITTTechnicalInstitute-RanchoCordova"
"202","AcademyofChineseCultureandHealthSciences"
"203","TheAcademyofRadioandTVBroadcasting"
"204","AvalonSchoolofCosmetology-Alameda"
"205","CollegeofAlameda"
"206","AllanHancockCollege"
"207","AmericanAcademyofDramaticArts-LosAngeles"
"208","AmericanBaptistSeminaryoftheWest"
"209","AmericanFilmInstituteConservatory"
"210","AmericanBeautyCollege"
"211","AmericanCareerCollege-LosAngeles"
"212","AmericanConservatoryTheater"
"213","AmericanRiverCollege"
"214","EverestCollege-Hayward"
"215","AntelopeValleyCollege"
"216","ArtCenterCollegeofDesign"
"217","AssociatedTechnicalCollege-LosAngeles"
"218","AssociatedTechnicalCollege-SanDiego"
"219","AzusaPacificUniversity"
"220","BakersfieldCollege"
"221","BridgesAcademyofBeauty"
"222","BarstowCommunityCollege"
"223","BellusAcademy-NationalCity"
"224","BethesdaUniversity"
"225","BiolaUniversity"
"226","BrooksInstitute"
"227","BrownsonTechnicalSchool"
"228","BryanUniversity"
"229","ButteCollege"
"230","PhillipsGraduateInstitute"
"231","CaliforniaInstituteofIntegralStudies"
"232","CabrilloCollege"
"233","CaliforniaBaptistUniversity"
"234","CaliforniaCollegeoftheArts"
"235","UniversityofCalifornia-HastingsCollegeofLaw"
"236","CaliforniaInstituteofTechnology"
"237","CaliforniaLutheranUniversity"
"238","CaliforniaPolytechnicStateUniversity-SanLuisObispo"
"239","AlliantInternationalUniversity-SanDiego"
"240","CaliforniaStateUniversity-Bakersfield"
"241","CaliforniaStateUniversity-Stanislaus"
"242","CaliforniaStateUniversity-SanBernardino"
"243","CaliforniaStatePolytechnicUniversity-Pomona"
"244","CaliforniaStateUniversity-Chico"
"245","CaliforniaStateUniversity-DominguezHills"
"246","CaliforniaStateUniversity-Fresno"
"247","CaliforniaStateUniversity-Fullerton"
"248","CaliforniaStateUniversity-EastBay"
"249","CaliforniaStateUniversity-LongBeach"
"250","CaliforniaStateUniversity-LosAngeles"
"251","CaliforniaStateUniversity-Northridge"
"252","CaliforniaStateUniversity-Sacramento"
"253","UniversityofCalifornia-Berkeley"
"254","UniversityofCalifornia-Davis"
"255","UniversityofCalifornia-Irvine"
"256","UniversityofCalifornia-LosAngeles"
"257","UniversityofCalifornia-Riverside"
"258","UniversityofCalifornia-SanDiego"
"259","UniversityofCalifornia-SanFrancisco"
"260","UniversityofCalifornia-SantaBarbara"
"261","UniversityofCalifornia-SantaCruz"
"262","SofiaUniversity"
"263","CaliforniaBeautySchool"
"264","CaliforniaChristianCollege"
"265","CaliforniaCollege-SanDiego"
"266","LeCordonBleuCollegeofCulinaryArts-SanFrancisco"
"267","CaliforniaHairDesignAcademy"
"268","CaliforniaInstituteoftheArts"
"269","TheCaliforniaMaritimeAcademy"
"270","CaliforniaWesternSchoolofLaw"
"271","CanadaCollege"
"272","CollegeoftheCanyons"
